mms_id,dlxs_id,alma_value,dlxs_value
990014862560106381,AGH9000.0001.001,"Coronas, José, 1871-"," Coronas, José, 1871-"
990014875960106381,AGJ0396.0001.001,"Abella y Casariego, Enrique."," Abella y Casariego, Enrique."
990014885230106381,AGJ1346.0001.001,"Dana, James Dwight, 1813-1895."," Dana, James Dwight, 1813-1895."
990014885250106381,AGJ1348.0001.001,"Hitchcock, Charles H. (Charles Henry), 1836-1919."," Hitchcock, Charles H. (Charles Henry), 1836-1919."
990014886180106381,AGJ1444.0001.001,"Saderra Masó, Miguel."," Saderra Masó, Miguel."
990014907670106381,AGJ3652.0001.001,"Dickerson, Roy E. (Roy Ernest), 1877-"," Dickerson, Roy E. (Roy Ernest), b. 1877."
990014991710106381,AGK2371.0001.001,"Elera, Casto de, 1852-"," Elera, Casto de, 1852-"
990014991710106381,AGK2371.0001.002,"Elera, Casto de, 1852-"," Elera, Casto de, 1852-"
990014991710106381,AGK2371.0001.003,"Elera, Casto de, 1852-"," Elera, Casto de, 1852-"
990014992080106381,AGK2408.0001.001,"Sharp, David, 1840-1922 ed."," Sharp, David, ed. 1840-1922."
990014992080106381,AGK2408.0001.002,"Sharp, David, 1840-1922 ed."," Sharp, David, ed. 1840-1922."
990014992080106381,AGK2408.0001.003,"Sharp, David, 1840-1922 ed."," Sharp, David, ed. 1840-1922."
990014992080106381,AGK2408.0001.004,"Sharp, David, 1840-1922 ed."," Sharp, David, ed. 1840-1922."
990014992080106381,AGK2408.0001.005,"Sharp, David, 1840-1922 ed."," Sharp, David, ed. 1840-1922."
990014992080106381,AGK2408.0001.006,"Sharp, David, 1840-1922 ed."," Sharp, David, ed. 1840-1922."
990014992080106381,AGK2408.0002.001,"Sharp, David, 1840-1922 ed."," Sharp, David, ed. 1840-1922."
990014992080106381,AGK2408.0002.002,"Sharp, David, 1840-1922 ed."," Sharp, David, ed. 1840-1922."
990014992080106381,AGK2408.0002.003,"Sharp, David, 1840-1922 ed."," Sharp, David, ed. 1840-1922."
990014992080106381,AGK2408.0002.004,"Sharp, David, 1840-1922 ed."," Sharp, David, ed. 1840-1922."
990014992080106381,AGK2408.0002.006,"Sharp, David, 1840-1922 ed."," Sharp, David, ed. 1840-1922."
990014992080106381,AGK2408.0003.001,"Sharp, David, 1840-1922 ed."," Sharp, David, ed. 1840-1922."
990014992080106381,AGK2408.0003.002,"Sharp, David, 1840-1922 ed."," Sharp, David, ed. 1840-1922."
990014992080106381,AGK2408.0003.003,"Sharp, David, 1840-1922 ed."," Sharp, David, ed. 1840-1922."
990014992080106381,AGK2408.0003.004,"Sharp, David, 1840-1922 ed."," Sharp, David, ed. 1840-1922."
990014992080106381,AGK2408.0003.005,"Sharp, David, 1840-1922 ed."," Sharp, David, ed. 1840-1922."
990014992080106381,AGK2408.0003.006,"Sharp, David, 1840-1922 ed."," Sharp, David, ed. 1840-1922."
990014992080106381,AGK2408.0002.005,"Sharp, David, 1840-1922 ed."," Sharp, David, ed. 1840-1922."
990015009050106381,AGK4145.0001.001,"Jordan, David Starr, 1851-1931."," Jordan, David Starr, 1851-1931."
990015009050106381,AGK4145.0010.001,"Jordan, David Starr, 1851-1931."," Jordan, David Starr, 1851-1931."
990015009050106381,AGK4145.0011.001,"Jordan, David Starr, 1851-1931."," Jordan, David Starr, 1851-1931."
990015009050106381,AGK4145.0012.001,"Jordan, David Starr, 1851-1931."," Jordan, David Starr, 1851-1931."
990015009050106381,AGK4145.0013.001,"Jordan, David Starr, 1851-1931."," Jordan, David Starr, 1851-1931."
990015009050106381,AGK4145.0002.001,"Jordan, David Starr, 1851-1931."," Jordan, David Starr, 1851-1931."
990015009050106381,AGK4145.0003.001,"Jordan, David Starr, 1851-1931."," Jordan, David Starr, 1851-1931."
990015009050106381,AGK4145.0004.001,"Jordan, David Starr, 1851-1931."," Jordan, David Starr, 1851-1931."
990015009050106381,AGK4145.0007.001,"Jordan, David Starr, 1851-1931."," Jordan, David Starr, 1851-1931."
990015009050106381,AGK4145.0008.001,"Jordan, David Starr, 1851-1931."," Jordan, David Starr, 1851-1931."
990015009050106381,AGK4145.0009.001,"Jordan, David Starr, 1851-1931."," Jordan, David Starr, 1851-1931."
990015029110106381,AGK6193.0001.001,"Stone, Witmer, 1866-1939."," Stone, Witmer, 1866-1939."
990015049930106381,AGK8315.0001.001,"Maxwell, Walter."," Maxwell, Walter."
990015066550106381,AGL0046.0001.001,"Banks, Charles S."," Banks, Charles S."
990015067940106381,AGL0195.0001.001,"Marañon y Mejorada, Joaquin, 1891-"," Marañon y Mejorada, Joaquin, 1891-"
990015188340106381,AGM2620.0001.001,"Bernal, Emilia, 1884-1964."," Bernal, Emilia, 1884-1964."
990015192480106381,AGM3039.0001.001,"Lizaso, Félix, 1891-"," Lizaso, Félix, comp."
990015196780106381,AGM3478.0001.001,"Montero y Vidal, José."," Montero y Vidal, José."
990015203440106381,AGM4167.0001.001,"Dutton, Clarence E. (Clarence Edward), 1841-1912."," Dutton, Clarence E. (Clarence Edward), 1841-1912."
990015210490106381,AGM4908.0001.001,"Alemany, Vicente, 1729-1817."," Alemany, Vicente, 1729-1817."
990015226930106381,AGM6607.0001.001,"Cruz, Manuel de la, 1861-1896."," Cruz, Manuel de la, 1861-1896."
990015226930106381,AGM6607.0002.001,"Cruz, Manuel de la, 1861-1896."," Cruz, Manuel de la, 1861-1896."
990015226930106381,AGM6607.0003.001,"Cruz, Manuel de la, 1861-1896."," Cruz, Manuel de la, 1861-1896."
990015226930106381,AGM6607.0004.001,"Cruz, Manuel de la, 1861-1896."," Cruz, Manuel de la, 1861-1896."
990015232140106381,AGM7142.0001.001,"Romero y Batalla de Aquino, Manuel."," Romero y Batalla de Aquino, Manuel."
990015235240106381,AGM7458.0001.001,"Agassiz, Alexander, 1835-1910."," Agassiz, Alexander, 1835-1910."
990015381320106381,AGP2253.0001.001,"Feced, Pablo."," Feced, Pablo."
990015419300106381,AGP6085.0001.001,"Lerrigo, Peter Hugh James, 1875-"," Lerrigo, Peter Hugh James, 1875-"
990015459810106381,AGQ0161.0001.001,"Lewis, George W."," Lewis, George W."
990015462180106381,AGQ0403.0001.001,"Aldeguer, Luis G."," Aldeguer, Luis G."
990015468990106381,AGQ1092.0001.001,"Roxas, Manuel Luz, 1888-"," Roxas, Manuel Luz, 1888-"
