mms_id,alma_title,alma_author,alma_pubplace,alma_publisher,alma_pubdate,alma_notes,alma_lang,alma_keywords
990028611530106381,Ang sintang dalisay ni Julieta at Romeo [microform] : tula sa uicang tagalog / ni G. D. Roke.,,Maynila :,"Imp. Tagala,",1901.,"['Microfilm no. 38.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",tgl,"['Tagalog poetry.', 'Corridos.']"
990028611540106381,Salita at buhay na pinangyarihan ng mag-asaua na si Juan at si Maria [microform] : sa astrociang ciudad ng imperiong Roma nang panahong una.,,Manila :,"Imp. de Santa Cruz de A. Nam & Co.,",1902.,"['Microfilm no. 38.', '""Ang lalaqui ay pumasoc sa estudio at naguing Pari, at ang babayi naman ay pumasoc sa beaterio,t, nagsilvi sa Monja.""--T.p.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",tgl,"['Tagalog literature.', 'Corridos.']"
990028611550106381,Auit at salita nang buhay na dinaanan ni Santa Regina [microform] : virgen y martir.,,Manila :,"Imprenta del Colegio de Sto. Tomas,",1902.,"['Microfilm no. 38.', '""Sinipi sa diario nang icapito nang buan nang Septiembre nang Taong 1858.""--T.p.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",tgl,"['Tagalog literature.', 'Corridos.']"
990028611560106381,Salita at buhay na pinagdaanan nang Haring Don Luis [microform] : sa tatlong anac at sa reina Mora.,,Manila :,"Imprenta de Quiapo,",1903.,"['Microfilm no. 38.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",tgl,"['Tagalog literature.', 'Corridos.']"
990028611570106381,Salita at buhay na pinagdaanan nang Haring Asuero [microform] : ni Da Maria at ni Juan Pobre sa bayang Jerusalem.,,Manila :,"Imprenta de Fajardo y C.a,",1905.,"['Microfilm no. 38.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",eng,"['Tagalog literature.', 'Corridos.']"
990028611580106381,Buhay na nasapit ni Anselmo at ni Elisa [microform] : sa ciudad nang Ulma sacop nang reinong Alemania / tinula ni Don A. L. V.,A. L. V.,Manila :,"Establecimiento de Fajardo y Comp.,",1905.,"['""Sinipi sa librong ñgala,i, Voz de la Naturaleza.""--T.p.', 'Microfilm no. 38.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",tgl,"['Tagalog poetry.', 'Corridos.']"
990028611720106381,Buhay ni Sta. Maria Magdalena : na sinipi sa historia nang martir sa Golgota / guinaua sa versong tagalog ni Roman Angeles.,,Manila :,"Imp. de Fajardo,",1907.,"['Microfilm no. 38.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",tgl,"['Tagalog literature.', 'Corridos.', 'Bible -- In literature.']"
990028611730106381,"Salita, buhay, at pinagdaanan ng isang alila, na pinag-utusan; naligtas sa bagbag, sa sinadsaran, aliping natulog, haring na umagahan [microform] : novelita Tagala (verso) / R. G. L.",R. G. L.,Manila :,"Establecimiento Tipografico de Sto. Tomas,",1907.,"['Microfilm no. 38.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",tgl,"['Verse drama, Tagalog.', 'Tagalog language -- Versification.']"
990028611740106381,Buhay nang Duque Almanzor at ni Mariang matalinong bait [microform] : sa caharian nang Toledo nang panahong na sa capangyarihan nang mañga moro.,,[Manila ? :,"s.n.,",192-],"['Microfilm no. 38.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",tgl,"['Tagalog literature.', 'Corridos.']"
990028611750106381,Justicia nang Dios [microform] : mga ilang bagay na inasal dito sa Filipinas nang mañga fraile / sinulat ni Mariano Seguera.,"Sequera, Mariano.",Maynila :,"Lim. ni Chofre' y Comp.a,",1899.,"['Microfilm no. 38.', '""Unang bahagui nang !Nasaan ang Dios!""--T.p.', 'Cover title : Justicia nang Dios.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",tgl,"['Tagalog literature.', 'Corridos.', 'Christianity and culture.', 'Christianity and justice -- Philippines.']"
990028611760106381,Buhay ni Faustino at ni Matidiana sa imperiong Roma [microform] : hango sa historia nang Apostol San Pedro / tinagalog ni Don Roman de los Angeles.,,Manila :,"Imp. ""La Democracia"",",1900.,"['Microfilm no. 38.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",tgl,"['Tagalog literature.', 'Corridos.']"
