id,dlxs_title,dlxs_author,bib_titles,bib_authors,pubplace,publisher,pubdate,notes,lang,keywords
APZ3239.0001.001,Los sucesos de 1872:  reseña historica bio-bibliografica / por Manuel Artigas y Cuerva.," Artigas y Cuerva, Manuel.",['Los sucesos de 1872:  reseña historica bio-bibliografica / por Manuel Artigas y Cuerva.'],"[' Artigas y Cuerva, Manuel.', 'American Philosophical Society. Library.']",Manila :,"Imp. de la Vanguardia,",1911 [i.e. 1913],"['Imprint on cover : Manila, Imp. de la Vanguardia y Taliba, 1913.', 'Portrait on cover.', 'Microfilm no. 49.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",['spa: Spanish'],['Philippines -- History']
APZ3237.0001.001,Quien es Retana:  su Antaño y Hogaño reseña bio-bibliografica / por Manuel Artigas y Cuerva.," Artigas y Cuerva, Manuel.",['Quien es Retana:  su Antaño y Hogaño reseña bio-bibliografica / por Manuel Artigas y Cuerva.'],"[' Artigas y Cuerva, Manuel.', 'American Philosophical Society. Library.']",Manila :,"Imprenta y Litografia de Juan Fajardo,",1911.,"['Microfilm no. 49.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",['spa: Spanish'],"['Philippines -- Bio-bibliography.', 'Retana, W. E. -- (Wenceslao Emilio), -- 1862-1924.']"
ABR8621.0001.001,El general Antonio Luna y Novicio : (reseña bio-bibliográfica) / por M. Artigas.," Artigas y Cuerva,Manuel.",['El general Antonio Luna y Novicio : (reseña bio-bibliográfica) / por M. Artigas.'],"[' Artigas y Cuerva,Manuel.']",Manila :,"Imp. de la Vanguardia y Taliba,",1910.,"['Includes bibliographical references.', 'Cover title : Glorias Nacionales.', ""Author's presentation copy, with his signed gift inscription on t.p.""]",['spa: Spanish'],"['Philippines -- History', 'Philippines -- Biography.', 'Luna, Antonio, -- 1866-1899.']"
AGZ9105.0001.001,"Relaciones de Yucatán.  [Vol. 1, no. 1]"," Asensio, José María, ed. 1829-1905.","['Relaciones de Yucatán.  [Vol. 1, no. 1]']","[' Asensio, José María, ed. 1829-1905.', 'Pedraza, Cristóbal de, bp. of Honduras, fl. 1544.', 'Landa, Diego de, 1524-1579.']","Madrid, :","Est. tip. ""Sucesores de Rivadeneyra,"",",1898-1900.,"['""Introducción"" by José María Asensio: t. 1, p. [vii]-xl; t. 2, p. [v]-xvi.', 'Facsimiles: 1. Sketch of Yucatan, the West-Indies, etc., attributed by the editor to Diego de Landa. The original accompanies the only manuscript known to exist of the ""Relacion de las cosas de Yucatan, sacada de lo que escribió ... Diego de Landa"", written in 1566 and kept in the library of the R. Acad. de la hist., Madrid.--2. Map of the province Tabasco, drawn in 1579 by Melchor Alfaro Santa Cruz; original in the Archivo general de Indias, Sevilla. cf. Introd., p. xxxii, xxv.', 'In the present edition of Diego de Landa\'s ""Relacion"" that part of it which relates to the Maya alphabet has been omitted. cf. v. 2, p. ix-xi.', 'I. Relaciones histórico-geográficas de las provincias de Yucatán: Mérida. Tabasco. Relación de la provincia de Honduras y Higueras, escrita por el licenciado d. Cristóbal de Pedraza, primer obispo de Honduras [1544] [Con prólogo por don Sebastian Marimon] Vocabulario de las palabras de las lenguas maya y mejicana usadas y explicadas en las relaciones.--II. Relaciones histórico-geográficas de las provincias de Yucatán: Valladolid. Apéndice. Relación de las cosas de Yucatán, sacada de la que escribió el padre fray Diego de Landa [1566]']",['spa: Spanish'],"['Mayas -- Antiquities', 'Maya language -- Glossaries, vocabularies, etc.', 'Yucatán (Mexico : State) -- History', 'Yucatán (Mexico : State) -- Description and travel.', 'America -- Early accounts to 1600']"
AGZ9105.0002.001,"Relaciones de Yucatán.  [Vol. 2, no. 1]"," Asensio, José María, ed. 1829-1905.","['Relaciones de Yucatán.  [Vol. 2, no. 1]']","[' Asensio, José María, ed. 1829-1905.', 'Pedraza, Cristóbal de, bp. of Honduras, fl. 1544.', 'Landa, Diego de, 1524-1579.']","Madrid, :","Est. tip. ""Sucesores de Rivadeneyra,"",",1898-1900.,"['""Introducción"" by José María Asensio: t. 1, p. [vii]-xl; t. 2, p. [v]-xvi.', 'Facsimiles: 1. Sketch of Yucatan, the West-Indies, etc., attributed by the editor to Diego de Landa. The original accompanies the only manuscript known to exist of the ""Relacion de las cosas de Yucatan, sacada de lo que escribió ... Diego de Landa"", written in 1566 and kept in the library of the R. Acad. de la hist., Madrid.--2. Map of the province Tabasco, drawn in 1579 by Melchor Alfaro Santa Cruz; original in the Archivo general de Indias, Sevilla. cf. Introd., p. xxxii, xxv.', 'In the present edition of Diego de Landa\'s ""Relacion"" that part of it which relates to the Maya alphabet has been omitted. cf. v. 2, p. ix-xi.', 'I. Relaciones histórico-geográficas de las provincias de Yucatán: Mérida. Tabasco. Relación de la provincia de Honduras y Higueras, escrita por el licenciado d. Cristóbal de Pedraza, primer obispo de Honduras [1544] [Con prólogo por don Sebastian Marimon] Vocabulario de las palabras de las lenguas maya y mejicana usadas y explicadas en las relaciones.--II. Relaciones histórico-geográficas de las provincias de Yucatán: Valladolid. Apéndice. Relación de las cosas de Yucatán, sacada de la que escribió el padre fray Diego de Landa [1566]']",['spa: Spanish'],"['Mayas -- Antiquities', 'Maya language -- Glossaries, vocabularies, etc.', 'Yucatán (Mexico : State) -- History', 'Yucatán (Mexico : State) -- Description and travel.', 'America -- Early accounts to 1600']"
ATL5997.0001.001,Limutin mo na ako / katha ni Narciso S. Asistio.," Asistio, Narciso S.",['Limutin mo na ako / katha ni Narciso S. Asistio.'],"[' Asistio, Narciso S.']",Maynila :,"P. Sayo balo ni Soriano,",1923.,['Novel.'],['tgl: Tagalog'],['Tagalog fiction.']
ABR2342.0001.001,"Patawad ...! : ikalawang bahagi ng ""Limutin mo na ako"" / katha ni Narciso S. Asistio."," Asistio, Narciso S.","['Patawad ...! : ikalawang bahagi ng ""Limutin mo na ako"" / katha ni Narciso S. Asistio.']","[' Asistio, Narciso S.']",Maynila :,"P. Sayo,",1923.,['Novel.'],['tgl: Tagalog'],[]
AHK8492.0001.001,The present educational movement in the Philippine Islands. By Fred W. Atkinson ...," Atkinson, Fred Washington, 1865-",['The present educational movement in the Philippine Islands. By Fred W. Atkinson ...'],"[' Atkinson, Fred Washington, 1865-']","[Washington,","Govt. print. off.,",1902],"['Caption title.', 'Cover-title: Advance sheets. United States Bureau of education. Chapter from the Report of the Commissioner of education for 1900-1901. Chapter xxix. Education in the Philippine Islands.']",['eng: English'],[]
ABF2839.0001.001,"The Philippine islands, by Fred W. Atkinson."," Atkinson, Fred Washington, 1865-1941.","['The Philippine islands, by Fred W. Atkinson.']","[' Atkinson, Fred Washington, 1865-1941.']","Boston,",Ginn & company,[c1905],[],['eng: English'],['Philippines.']
APZ7261.0001.001,Auit at salita nang buhay na dinaanan ni Santa Regina:  virgen y martir.,,['Auit at salita nang buhay na dinaanan ni Santa Regina:  virgen y martir.'],['American Philosophical Society. Library.'],Manila :,"Imprenta del Colegio de Sto. Tomas,",1902.,"['Microfilm no. 38.', '""Sinipi sa diario nang icapito nang buan nang Septiembre nang Taong 1858.""--T.p.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",['tgl: Tagalog'],"['Tagalog literature.', 'Corridos.']"
AEU5473.0001.001,An American congressman in the Orient;," [Austin, Richard Wilson] 1857-",['An American congressman in the Orient;'],"[' [Austin, Richard Wilson] 1857-']","Knoxville, Tenn.,",Larew printing co.,[1915],[],['eng: English'],"['United States -- Colonial question', 'China -- Economic conditions', 'Japan -- Economic conditions', 'Philippines.', 'United States -- Commerce -- Pacific Ocean.']"
BBM8821.0001.001,"Our Philippine policy:  an American congressman visits the Orient ; he answers the question, should the United States keep the Philippines? / by Richard W. Austin."," Austin, Richard Wilson, 1857-","['Our Philippine policy:  an American congressman visits the Orient ; he answers the question, should the United States keep the Philippines? / by Richard W. Austin.']","[' Austin, Richard Wilson, 1857-']",[S.l. :,"s.n,",190-?],"['Microfilm. [New York, N.Y.] : New York Public Library Photographic Service, 1978. 1 microfilm reel ; 35 mm.']",['eng: English'],[]
AQJ3601.0001.001,Ave Maria:  novena a la mas fragante rosa del paraiso de dios Maria Santisima Del Rosario.,,['Ave Maria:  novena a la mas fragante rosa del paraiso de dios Maria Santisima Del Rosario.'],['American Philosophical Society. Library.'],,,,"['Microfilm no. 26', '""La consagra a la milagrosa imagen de Ntra. Sra del Rosario el Covento de N.P. Sto. Domngo de Manila.""--T.p.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From Bartlett Collection on the Philippines and the East Indies.']",['spa: Spanish'],"['Novenas.', 'Mary, -- Blessed Virgin,Saint -- Prayer-books and devotions']"
ACA6005.0001.001,La Campaña de Filipinas : (recuerdos é impresiones de un Médico militar) / L. Aycart.," Aycart y Lopez, Lorenzo, d. 1910.",['La Campaña de Filipinas : (recuerdos é impresiones de un Médico militar) / L. Aycart.'],"[' Aycart y Lopez, Lorenzo, d. 1910.']",Madrid :,"Imp. del Cuerpo de Administración Militar,",1900.,['Cover title.'],['spa: Spanish'],"['War -- Relief of sick and wounded', 'Spain -- Armed Forces', 'Philippines -- History']"
