mms_id,dlxs_id,alma_value,dlxs_value,suggested_value,alma_url,dlxs_url
990037968790106381,AUJ9320.0001.001,"['Pampanga literature.', 'Corridos.', 'Pampanga language -- Texts.']","['Pampanga literature.', 'Corridos.', 'Pampangan language -- Texts.']",,https://search.lib.umich.edu/catalog/record/990037968790106381,https://quod.lib.umich.edu/p/philamer/AUJ9320.0001.001
990033435880106381,ASK0993.0001.001,['Philippines. -- Honorary Board of Filipino Commissioners to the Louisiana Purchase Exposition -- Biography.'],"['Philippines. -- Honorary Board of Filipino Commissioners to the Louisiana Purchase Exposition -- Biography.', 'Louisiana Purchase Exposition (1904 : Saint Louis, Mo.) Philippines.']",,https://search.lib.umich.edu/catalog/record/990033435880106381,https://quod.lib.umich.edu/p/philamer/ASK0993.0001.001
990028006660106381,APT6455.0001.001,"['Oracles, Philippine.', 'Fortune-telling by runes.', 'Fortune-telling -- Philippines.']","['Oracles, Philippine. -- Cebu.', 'Fortune-telling by runes.', 'Fortune-telling -- Philippines.']",,https://search.lib.umich.edu/catalog/record/990028006660106381,https://quod.lib.umich.edu/p/philamer/APT6455.0001.001
990029846530106381,AQR7923.0001.001,['Cebuano literature.'],['Cebuano literature -- Collections.'],,https://search.lib.umich.edu/catalog/record/990029846530106381,https://quod.lib.umich.edu/p/philamer/AQR7923.0001.001
990029093500106381,AQJ2112.0001.001,"['Pampanga language -- Texts.', 'Corridos.', 'Folk songs, Pampanga.']","['Pampanga language -- Texts.', 'Corridos.', 'Folk Songs, Pampangan.']",,https://search.lib.umich.edu/catalog/record/990029093500106381,https://quod.lib.umich.edu/p/philamer/AQJ2112.0001.001
990037969550106381,AUJ9396.0001.001,"['Spanish literature -- Translations into Bikol.', 'Bikol language -- Texts.']","['Spanish literature -- Translation into Bikol.', 'Bikol literature -- Translation from Spanish.', 'Bikol language -- Texts.']",,https://search.lib.umich.edu/catalog/record/990037969550106381,https://quod.lib.umich.edu/p/philamer/AUJ9396.0001.001
990028697350106381,AQA5916.0001.001,"['Iloko poetry.', 'Poets -- Philippines Ilocos -- Biography.']","['Iloko poetry.', 'Poets -- Biography. -- Ilocos, Philippines']",,https://search.lib.umich.edu/catalog/record/990028697350106381,https://quod.lib.umich.edu/p/philamer/AQA5916.0001.001
990029571530106381,AQP0201.0001.001,['French literature -- Translations into Tagalog.'],"['French literature -- Translations into Tagalog.', 'Tagalog literature -- Translations from French.']",,https://search.lib.umich.edu/catalog/record/990029571530106381,https://quod.lib.umich.edu/p/philamer/AQP0201.0001.001
990014856350106381,AGH8356.0001.001,"['International Meteorological Congress. -- Chicago, 1893.']","['International Meteorological Congress. -- Chicago, 1893.', ""World's Columbian Exposition (1893 : Chicago, Ill.)""]",,https://search.lib.umich.edu/catalog/record/990014856350106381,https://quod.lib.umich.edu/p/philamer/AGH8356.0001.001
990012547810106381,AFJ0096.0001.001,"['Sino-Japanese War, 1894-1895.', 'Eastern question (Far East)', 'East Asia -- Description and travel.']","['Chinese-Japanese War, 1894-1895', 'Eastern question (Far East)', 'East Asia -- Description and travel.']","['Sino-Japanese War, 1894-1895.', 'Eastern question (Far East)', 'East Asia -- Description and travel.']",https://search.lib.umich.edu/catalog/record/990012547810106381,https://quod.lib.umich.edu/p/philamer/AFJ0096.0001.001
990014651940106381,AGF7175.0001.001,"['Cuba -- Foreign relations', 'Torriente, Cosme de la, -- 1872-']","['Cuba -- Foreign relations', 'Torriente, Cosme de la, -- b. 1872.']","['Cuba -- Foreign relations', 'Torriente, Cosme de la, -- 1872-']",https://search.lib.umich.edu/catalog/record/990014651940106381,https://quod.lib.umich.edu/p/philamer/AGF7175.0001.001
990028571310106381,APZ3208.0001.001,['Pampanga literature.'],['Pampanga literature -- Collections.'],,https://search.lib.umich.edu/catalog/record/990028571310106381,https://quod.lib.umich.edu/p/philamer/APZ3208.0001.001
990027988580106381,APT4634.0001.001,"['Fables, Philippine.']","['Fables, Philippine -- Collections.']",,https://search.lib.umich.edu/catalog/record/990027988580106381,https://quod.lib.umich.edu/p/philamer/APT4634.0001.001
990013598840106381,AFU8784.0001.001,['Tagalog language -- Grammar.'],"['Philippines.', 'Tagalog language -- Grammar.', 'Spanish language -- Grammar.', 'Tagalog language -- Study and teaching.']",,https://search.lib.umich.edu/catalog/record/990013598840106381,https://quod.lib.umich.edu/p/philamer/AFU8784.0001.001
990029313920106381,AQL4331.0001.001,"['Hymns -- Philippines Cagayan.', 'Hymns -- Philippines -- Devotional uses.']","['Hymns -- Cagayan (Philippines)', 'Hymns -- Devotional uses. -- Philippines']",,https://search.lib.umich.edu/catalog/record/990029313920106381,https://quod.lib.umich.edu/p/philamer/AQL4331.0001.001
990029357360106381,AQL8703.0001.001,['Hiligaynon literature.'],"['Novel.', 'Hiligaynon literature.']",,https://search.lib.umich.edu/catalog/record/990029357360106381,https://quod.lib.umich.edu/p/philamer/AQL8703.0001.001
990029028740106381,AQH5585.0001.001,"['Hiligaynon literature.', 'Hiligaynon language -- Texts.', 'Jesus Christ -- In literature.']","['Hiligaynon literature .', 'Hiligaynon language -- Texts.', 'Jesus Christ -- In literature.']",,https://search.lib.umich.edu/catalog/record/990029028740106381,https://quod.lib.umich.edu/p/philamer/AQH5585.0001.001
990027041550106381,APF1974.0001.001,"['Folklore -- Hawaii.', 'Ethnology -- Polynesia.', 'Quatrefages, A. de -- (Armand), -- 1810-1892. -- Polynésiens.']","['Folklore -- Hawaii.', 'Ethnology -- Polynesia.', 'Quatrefages de Bréau, Armand de, -- 1810-1892. -- Polynésiens.']","['Folklore -- Hawaii.', 'Ethnology -- Polynesia.', 'Quatrefages, A. de -- (Armand), -- 1810-1892. -- Polynésiens.']",https://search.lib.umich.edu/catalog/record/990027041550106381,https://quod.lib.umich.edu/p/philamer/APF1974.0001.001
990030017950106381,AQW1459.0001.001,"['Corridos -- Philippines.', 'Tagalog literature.', 'David, -- King of Israel', 'Goliath -- (Biblical giant)']","['Corridos -- Philippines.', 'Tagalog literature.', 'David, -- King of Israel.', 'Goliath -- (Biblical giant).']",,https://search.lib.umich.edu/catalog/record/990030017950106381,https://quod.lib.umich.edu/p/philamer/AQW1459.0001.001
