mms_id,id,dlxs_title,dlxs_author,bib_titles,bib_authors,pubplace,publisher,pubdate,notes,lang,keywords
990011228450106381,AEU5473.0001.001,An American congressman in the Orient;," [Austin, Richard Wilson] 1857-",['An American congressman in the Orient;'],"[' [Austin, Richard Wilson] 1857-']","Knoxville, Tenn.,",Larew printing co.,[1915],[],['eng: English'],"['United States -- Colonial question', 'China -- Economic conditions', 'Japan -- Economic conditions', 'Philippines.', 'United States -- Commerce -- Pacific Ocean.']"
990042336490106381,BBM8821.0001.001,"Our Philippine policy:  an American congressman visits the Orient ; he answers the question, should the United States keep the Philippines? / by Richard W. Austin."," Austin, Richard Wilson, 1857-","['Our Philippine policy:  an American congressman visits the Orient ; he answers the question, should the United States keep the Philippines? / by Richard W. Austin.']","[' Austin, Richard Wilson, 1857-']",[S.l. :,"s.n,",190-?],"['Microfilm. [New York, N.Y.] : New York Public Library Photographic Service, 1978. 1 microfilm reel ; 35 mm.']",['eng: English'],[]
990029108050106381,AQJ3601.0001.001,Ave Maria:  novena a la mas fragante rosa del paraiso de dios Maria Santisima Del Rosario.,,['Ave Maria:  novena a la mas fragante rosa del paraiso de dios Maria Santisima Del Rosario.'],['American Philosophical Society. Library.'],,,,"['Microfilm no. 26', '""La consagra a la milagrosa imagen de Ntra. Sra del Rosario el Covento de N.P. Sto. Domngo de Manila.""--T.p.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From Bartlett Collection on the Philippines and the East Indies.']",['spa: Spanish'],"['Novenas.', 'Mary, -- Blessed Virgin,Saint -- Prayer-books and devotions']"
990004764850106381,ACA6005.0001.001,La Campaña de Filipinas : (recuerdos é impresiones de un Médico militar) / L. Aycart.," Aycart y Lopez, Lorenzo, d. 1910.",['La Campaña de Filipinas : (recuerdos é impresiones de un Médico militar) / L. Aycart.'],"[' Aycart y Lopez, Lorenzo, d. 1910.']",Madrid :,"Imp. del Cuerpo de Administración Militar,",1900.,['Cover title.'],['spa: Spanish'],"['War -- Relief of sick and wounded', 'Spain -- Armed Forces', 'Philippines -- History']"
990028571630106381,APZ3240.0001.001,Sitio y conquista de Manila por los Ingleses en 1762: ," Ayerbe, de Lierta y de Rubi, Juan Maria Jordán de Urriés y Ruiz de Arana, marqués de, 1851-",['Sitio y conquista de Manila por los Ingleses en 1762: '],"[' Ayerbe, de Lierta y de Rubi, Juan Maria Jordán de Urriés y Ruiz de Arana, marqués de, 1851-', 'American Philosophical Society. Library.']",Zaragoza :,"Miedes,",1897.,"['Microfilm no. 49.', 'At head of title: Marquès de Ayerbe.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",['spa: Spanish'],"['Anglo-Spanish War, 1762-1763.', 'Manila (Philippines) -- History.']"
990018220400106381,AHU9053.0001.001,"Búhay na pinagdaanan nang tatlong binatang magcacaibigan na si Arturo, Lauro at Rosalio at nang isang dalaga na si Perpetua sa Bayang Betania sa cahariang Egipto.",,"['Búhay na pinagdaanan nang tatlong binatang magcacaibigan na si Arturo, Lauro at Rosalio at nang isang dalaga na si Perpetua sa Bayang Betania sa cahariang Egipto.']",[],Maynila :,"J. Martinez,",1921.,[],['tgl: Tagalog'],"['Tales -- Philippines.', 'Tagalog language -- Texts.']"
990037957490106381,AUJ8187.0001.001,Búhay na pinagdaanan ni Maria Merced na anak ni Troadio at ni Cresencia sa kahariang Israel.,,['Búhay na pinagdaanan ni Maria Merced na anak ni Troadio at ni Cresencia sa kahariang Israel.'],[],Maynila :,J. Martinez,[1930?],[],['tgl: Tagalog'],['Tagalog fiction.']
990029373900106381,AQM0377.0001.001,Matahum basahon sa kulilisi ug balitaw / E. Bacalso.," Bacalso, E.",['Matahum basahon sa kulilisi ug balitaw / E. Bacalso.'],"[' Bacalso, E.', 'American Philosophical Society. Library.']",Cebu :,"Felix B. Gacura,",1935.,"['Microfilm no. 7', '""Kining mga garay sa kulilisi mahimo usab kantahon sa balitaw.""--T.p.', 'In Cebuano.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",['ceb: Cebuano'],"['Balitaw.', 'Cebuano literature.', 'Kulilisi.']"
990018710390106381,AHZ9263.0001.001,Some insular questions. A paper by N.T. Bacon.," Bacon, Nathaniel Terry",['Some insular questions. A paper by N.T. Bacon.'],"[' Bacon, Nathaniel Terry']",,,,"['cover title', '""From the Yale Review, Aug. 1901.""']",['eng: English'],[]
990018711680106381,AHZ9395.0001.001,"Governor general Leonard Wood and the Philippines. Remarks of Hon. Robert L. Bacon of New York in the House of representatives, Tuesday, February 9, 1926."," Bacon, Robert Low, 1884-1938.","['Governor general Leonard Wood and the Philippines. Remarks of Hon. Robert L. Bacon of New York in the House of representatives, Tuesday, February 9, 1926.']","[' Bacon, Robert Low, 1884-1938.']","Washington,","Govt. print. off.,",1926.,[],['eng: English'],['Philippines -- Politics and government']
